destination,country,description,activities,best_season,budget_level,travel_style
Garden Route,South Africa,"A scenic coastal destination offering ocean views, local culture, fresh food, and relaxed outdoor experiences.",coastal walks; local dining; boat trips,spring or summer,medium,relaxing; culture
Stellenbosch,South Africa,"A destination well suited to travellers interested in regional cuisine, markets, cafés, and local culture.",food tours; markets; local restaurants; relaxation,year-round,medium,food; culture
Drakensberg,South Africa,"A mountain destination with dramatic scenery, outdoor activities, and rewarding viewpoints.",hiking; viewpoints; nature photography,spring through fall,medium,adventure; nature
Addis Ababa,Ethiopia,"A lively urban destination known for local neighbourhoods, cultural attractions, dining, and opportunities to explore Ethiopia.",walking tours; museums; local dining; food tasting,spring or fall,low,city; culture
Lalibela,Ethiopia,"A historically rich destination with important landmarks, architecture, museums, and cultural traditions.",historic sites; museums; guided tours; cultural tours,spring or fall,low,history; culture
Simien Mountains,Ethiopia,"A mountain destination with dramatic scenery, outdoor activities, and rewarding viewpoints.",hiking; viewpoints; nature photography; wildlife viewing,dry season,low,adventure; nature
Nairobi,Kenya,"A lively urban destination known for local neighbourhoods, cultural attractions, dining, and opportunities to explore Kenya.",walking tours; museums; local dining; cultural tours,dry season,medium,city; culture
Maasai Mara,Kenya,"A wildlife destination known for safari experiences, natural landscapes, and opportunities to observe animals responsibly.",guided safaris; wildlife viewing; photography,dry season,medium,adventure; nature
Mombasa,Kenya,"A beach-focused destination with warm-water activities, coastal scenery, and time for relaxation.",swimming; beach walks; water activities; food tasting,dry season or summer,medium,relaxing; nature
Lamu,Kenya,"A scenic coastal destination offering ocean views, local culture, fresh food, and relaxed outdoor experiences.",coastal walks; local dining; boat trips; relaxation,spring or summer,medium,relaxing; culture
Amboseli National Park,Kenya,"A wildlife destination known for safari experiences, natural landscapes, and opportunities to observe animals responsibly.",guided safaris; wildlife viewing; photography,dry season,medium,adventure; nature
Zanzibar,Tanzania,"A beach-focused destination with warm-water activities, coastal scenery, and time for relaxation.",swimming; beach walks; water activities; cultural tours,dry season or summer,medium,relaxing; nature
Serengeti National Park,Tanzania,"A wildlife destination known for safari experiences, natural landscapes, and opportunities to observe animals responsibly.",guided safaris; wildlife viewing; photography,dry season,medium,adventure; nature
Ngorongoro Crater,Tanzania,"A wildlife destination known for safari experiences, natural landscapes, and opportunities to observe animals responsibly.",guided safaris; wildlife viewing; photography; scenic viewpoints,dry season,medium,adventure; nature
Mount Kilimanjaro,Tanzania,"A mountain destination with dramatic scenery, outdoor activities, and rewarding viewpoints.",hiking; viewpoints; nature photography,spring through fall,medium,adventure; nature
Dar es Salaam,Tanzania,"A scenic coastal destination offering ocean views, local culture, fresh food, and relaxed outdoor experiences.",coastal walks; local dining; boat trips; food tasting,spring or summer,medium,relaxing; culture
Kigali,Rwanda,"A lively urban destination known for local neighbourhoods, cultural attractions, dining, and opportunities to explore Rwanda.",walking tours; museums; local dining; cultural tours,spring or fall,medium,city; culture
Volcanoes National Park,Rwanda,A nature destination with strong wildlife-viewing opportunities and varied outdoor experiences.,wildlife viewing; guided walks; photography; hiking,dry season,medium,nature; adventure
Bwindi Impenetrable Forest,Uganda,A nature destination with strong wildlife-viewing opportunities and varied outdoor experiences.,wildlife viewing; guided walks; photography; hiking,dry season,low,nature; adventure
Kampala,Uganda,"A lively urban destination known for local neighbourhoods, cultural attractions, dining, and opportunities to explore Uganda.",walking tours; museums; local dining; cultural tours,spring or fall,low,city; culture
Jinja,Uganda,"An active-travel destination offering outdoor challenges, scenic landscapes, and memorable excursions.",hiking; guided excursions; outdoor sports; river excursions,year-round,low,adventure; nature
Victoria Falls,Zambia,"A varied travel destination in Zambia offering culture, scenery, local food, and memorable activities.",sightseeing; local food; cultural tours,year-round,medium,culture; sightseeing
South Luangwa National Park,Zambia,"A wildlife destination known for safari experiences, natural landscapes, and opportunities to observe animals responsibly.",guided safaris; wildlife viewing; photography,dry season,medium,adventure; nature
Livingstone,Zambia,"An active-travel destination offering outdoor challenges, scenic landscapes, and memorable excursions.",hiking; guided excursions; outdoor sports,spring or fall,medium,adventure; nature
Harare,Zimbabwe,"A lively urban destination known for local neighbourhoods, cultural attractions, dining, and opportunities to explore Zimbabwe.",walking tours; museums; local dining; cultural tours,spring or fall,medium,city; culture
Hwange National Park,Zimbabwe,"A wildlife destination known for safari experiences, natural landscapes, and opportunities to observe animals responsibly.",guided safaris; wildlife viewing; photography,dry season,medium,adventure; nature
Great Zimbabwe,Zimbabwe,"A historically rich destination with important landmarks, architecture, museums, and cultural traditions.",historic sites; museums; guided tours; cultural tours,spring or fall,medium,history; culture
Chobe National Park,Botswana,"A wildlife destination known for safari experiences, natural landscapes, and opportunities to observe animals responsibly.",guided safaris; wildlife viewing; photography; river excursions,dry season,medium,adventure; nature
Okavango Delta,Botswana,A nature destination with strong wildlife-viewing opportunities and varied outdoor experiences.,wildlife viewing; guided walks; photography,dry season,medium,nature; adventure
Gaborone,Botswana,"A lively urban destination known for local neighbourhoods, cultural attractions, dining, and opportunities to explore Botswana.",walking tours; museums; local dining; cultural tours,spring or fall,medium,city; culture
Sossusvlei,Namibia,"A striking desert destination with wide-open landscapes, cultural experiences, and memorable sunsets.",desert tours; stargazing; photography,fall or winter,medium,adventure; culture
Etosha National Park,Namibia,"A wildlife destination known for safari experiences, natural landscapes, and opportunities to observe animals responsibly.",guided safaris; wildlife viewing; photography,dry season,medium,adventure; nature
Swakopmund,Namibia,"A scenic coastal destination offering ocean views, local culture, fresh food, and relaxed outdoor experiences.",coastal walks; local dining; boat trips,fall or winter,medium,relaxing; culture
Windhoek,Namibia,"A lively urban destination known for local neighbourhoods, cultural attractions, dining, and opportunities to explore Namibia.",walking tours; museums; local dining; cultural tours,spring or fall,medium,city; culture
Maputo,Mozambique,"A scenic coastal destination offering ocean views, local culture, fresh food, and relaxed outdoor experiences.",coastal walks; local dining; boat trips; food tasting,spring or summer,medium,relaxing; culture
Bazaruto Archipelago,Mozambique,"A beach-focused destination with warm-water activities, coastal scenery, and time for relaxation.",swimming; beach walks; water activities; diving,dry season or summer,medium,relaxing; nature
Tofo,Mozambique,"A beach-focused destination with warm-water activities, coastal scenery, and time for relaxation.",swimming; beach walks; water activities; diving,dry season,medium,relaxing; nature
Antananarivo,Madagascar,"A lively urban destination known for local neighbourhoods, cultural attractions, dining, and opportunities to explore Madagascar.",walking tours; museums; local dining; cultural tours,spring or fall,low,city; culture
Nosy Be,Madagascar,"A beach-focused destination with warm-water activities, coastal scenery, and time for relaxation.",swimming; beach walks; water activities; diving,dry season or summer,low,relaxing; nature
Avenue of the Baobabs,Madagascar,"A nature-focused destination with distinctive landscapes, outdoor activities, and scenic exploration.",hiking; scenic drives; photography,year-round,low,nature; adventure
Andasibe-Mantadia,Madagascar,A nature destination with strong wildlife-viewing opportunities and varied outdoor experiences.,wildlife viewing; guided walks; photography; hiking,dry season,low,nature; adventure
Port Louis,Mauritius,"A lively urban destination known for local neighbourhoods, cultural attractions, dining, and opportunities to explore Mauritius.",walking tours; museums; local dining; food tasting,spring or fall,medium,city; culture
Le Morne,Mauritius,"A beach-focused destination with warm-water activities, coastal scenery, and time for relaxation.",swimming; beach walks; water activities; hiking,dry season or summer,medium,relaxing; nature
Black River Gorges,Mauritius,"A varied travel destination in Mauritius offering culture, scenery, local food, and memorable activities.",sightseeing; local food; cultural tours,spring through fall,medium,culture; sightseeing
Mahé,Seychelles,"A beach-focused destination with warm-water activities, coastal scenery, and time for relaxation.",swimming; beach walks; water activities; hiking,dry season or summer,high,relaxing; nature
Praslin,Seychelles,"A beach-focused destination with warm-water activities, coastal scenery, and time for relaxation.",swimming; beach walks; water activities; relaxation,dry season or summer,high,relaxing; nature
La Digue,Seychelles,"A beach-focused destination with warm-water activities, coastal scenery, and time for relaxation.",swimming; beach walks; water activities; cycling,dry season or summer,high,relaxing; nature
Cairo,Egypt,"A historically rich destination with important landmarks, architecture, museums, and cultural traditions.",historic sites; museums; guided tours; museum visits,spring or fall,low,history; culture
Luxor,Egypt,"A historically rich destination with important landmarks, architecture, museums, and cultural traditions.",historic sites; museums; guided tours; river excursions,spring or fall,low,history; culture
Aswan,Egypt,"A historically rich destination with important landmarks, architecture, museums, and cultural traditions.",historic sites; museums; guided tours; river excursions,spring or fall,low,history; culture
Alexandria,Egypt,"A scenic coastal destination offering ocean views, local culture, fresh food, and relaxed outdoor experiences.",coastal walks; local dining; boat trips; food tasting,spring or summer,low,relaxing; culture
Siwa Oasis,Egypt,"A striking desert destination with wide-open landscapes, cultural experiences, and memorable sunsets.",desert tours; stargazing; photography; cultural tours,fall or winter,low,adventure; culture
Sharm El Sheikh,Egypt,"A beach-focused destination with warm-water activities, coastal scenery, and time for relaxation.",swimming; beach walks; water activities; diving,dry season or summer,low,relaxing; nature
Fez,Morocco,"A historically rich destination with important landmarks, architecture, museums, and cultural traditions.",historic sites; museums; guided tours; cultural tours,spring or fall,low,history; culture
Chefchaouen,Morocco,"A varied travel destination in Morocco offering culture, scenery, local food, and memorable activities.",sightseeing; local food; cultural tours; relaxation,year-round,low,culture; sightseeing
Essaouira,Morocco,"A scenic coastal destination offering ocean views, local culture, fresh food, and relaxed outdoor experiences.",coastal walks; local dining; boat trips; food tasting,spring or summer,low,relaxing; culture
Sahara Desert,Morocco,"A striking desert destination with wide-open landscapes, cultural experiences, and memorable sunsets.",desert tours; stargazing; photography; cultural tours,fall or winter,low,adventure; culture
Tunis,Tunisia,"A historically rich destination with important landmarks, architecture, museums, and cultural traditions.",historic sites; museums; guided tours; food tasting,spring or fall,low,history; culture
Sidi Bou Said,Tunisia,"A scenic coastal destination offering ocean views, local culture, fresh food, and relaxed outdoor experiences.",coastal walks; local dining; boat trips; photography,spring or summer,low,relaxing; culture
Carthage,Tunisia,"A historically rich destination with important landmarks, architecture, museums, and cultural traditions.",historic sites; museums; guided tours; cultural tours,spring or fall,low,history; culture
Djerba,Tunisia,"A beach-focused destination with warm-water activities, coastal scenery, and time for relaxation.",swimming; beach walks; water activities; cultural tours,dry season or summer,low,relaxing; nature
Algiers,Algeria,"A lively urban destination known for local neighbourhoods, cultural attractions, dining, and opportunities to explore Algeria.",walking tours; museums; local dining,spring or summer,medium,city; culture
Oran,Algeria,"A scenic coastal destination offering ocean views, local culture, fresh food, and relaxed outdoor experiences.",coastal walks; local dining; boat trips; live music,spring or summer,medium,relaxing; culture
Constantine,Algeria,"A historically rich destination with important landmarks, architecture, museums, and cultural traditions.",historic sites; museums; guided tours; scenic viewpoints,spring or fall,medium,history; culture
Accra,Ghana,"A lively urban destination known for local neighbourhoods, cultural attractions, dining, and opportunities to explore Ghana.",walking tours; museums; local dining; food tasting,spring or fall,low,city; culture
Cape Coast,Ghana,"A historically rich destination with important landmarks, architecture, museums, and cultural traditions.",historic sites; museums; guided tours; cultural tours,spring or summer,low,history; culture
London,United Kingdom,"A lively urban destination known for local neighbourhoods, cultural attractions, dining, and opportunities to explore United Kingdom.",walking tours; museums; local dining; museum visits,spring or fall,high,city; culture
Edinburgh,United Kingdom,"A historically rich destination with important landmarks, architecture, museums, and cultural traditions.",historic sites; museums; guided tours,spring or fall,high,history; culture
Scottish Highlands,United Kingdom,"A mountain destination with dramatic scenery, outdoor activities, and rewarding viewpoints.",hiking; viewpoints; nature photography,spring through fall,high,adventure; nature
Dublin,Ireland,"A lively urban destination known for local neighbourhoods, cultural attractions, dining, and opportunities to explore Ireland.",walking tours; museums; local dining; live music,spring or fall,medium,city; culture
Galway,Ireland,"A scenic coastal destination offering ocean views, local culture, fresh food, and relaxed outdoor experiences.",coastal walks; local dining; boat trips; live music,spring or summer,medium,relaxing; culture
Rome,Italy,"A historically rich destination with important landmarks, architecture, museums, and cultural traditions.",historic sites; museums; guided tours; food tasting,spring or fall,medium,history; culture
Florence,Italy,"A cultural destination with galleries, architecture, creative neighbourhoods, and local food.",galleries; architecture tours; museums; food tasting,spring or fall,medium,culture; city
Venice,Italy,"A picturesque destination shaped by waterways, historic streets, architecture, and relaxed sightseeing.",boat tours; walking tours; cafés,spring or fall,medium,culture; relaxing
Amalfi Coast,Italy,"A scenic coastal destination offering ocean views, local culture, fresh food, and relaxed outdoor experiences.",coastal walks; local dining; boat trips; food tasting,spring or summer,medium,relaxing; culture
Dolomites,Italy,"A mountain destination with dramatic scenery, outdoor activities, and rewarding viewpoints.",hiking; viewpoints; nature photography,spring through fall,medium,adventure; nature
Milan,Italy,"A varied travel destination in Italy offering culture, scenery, local food, and memorable activities.",sightseeing; local food; cultural tours,spring or fall,medium,culture; sightseeing
Madrid,Spain,"A cultural destination with galleries, architecture, creative neighbourhoods, and local food.",galleries; architecture tours; museums; food tasting,spring or fall,medium,culture; city
Seville,Spain,"A historically rich destination with important landmarks, architecture, museums, and cultural traditions.",historic sites; museums; guided tours; food tasting,spring or fall,medium,history; culture
Granada,Spain,"A historically rich destination with important landmarks, architecture, museums, and cultural traditions.",historic sites; museums; guided tours; cultural tours,spring or fall,medium,history; culture
Valencia,Spain,"A beach-focused destination with warm-water activities, coastal scenery, and time for relaxation.",swimming; beach walks; water activities; food tasting,dry season or summer,medium,relaxing; nature
Porto,Portugal,"A destination well suited to travellers interested in regional cuisine, markets, cafés, and local culture.",food tours; markets; local restaurants; river excursions,spring or fall,medium,food; culture
Madeira,Portugal,"A varied travel destination in Portugal offering culture, scenery, local food, and memorable activities.",sightseeing; local food; cultural tours,spring or summer,medium,culture; sightseeing
Azores,Portugal,"A nature-focused destination with distinctive landscapes, outdoor activities, and scenic exploration.",hiking; scenic drives; photography,spring through fall,medium,nature; adventure
Amsterdam,Netherlands,"A picturesque destination shaped by waterways, historic streets, architecture, and relaxed sightseeing.",boat tours; walking tours; cafés; museum visits,year-round,high,culture; relaxing
Rotterdam,Netherlands,"A varied travel destination in Netherlands offering culture, scenery, local food, and memorable activities.",sightseeing; local food; cultural tours; food tasting,spring or fall,high,culture; sightseeing
Bruges,Belgium,"A historically rich destination with important landmarks, architecture, museums, and cultural traditions.",historic sites; museums; guided tours; food tasting,spring or fall,medium,history; culture
Brussels,Belgium,"A destination well suited to travellers interested in regional cuisine, markets, cafés, and local culture.",food tours; markets; local restaurants; museum visits,spring or fall,medium,food; culture
Berlin,Germany,"A historically rich destination with important landmarks, architecture, museums, and cultural traditions.",historic sites; museums; guided tours; nightlife,spring or fall,medium,history; culture
Munich,Germany,"A destination well suited to travellers interested in regional cuisine, markets, cafés, and local culture.",food tours; markets; local restaurants; cultural tours,spring or fall,medium,food; culture
Black Forest,Germany,"A nature-focused destination with distinctive landscapes, outdoor activities, and scenic exploration.",hiking; scenic drives; photography,spring through fall,medium,nature; adventure
Vienna,Austria,"A varied travel destination in Austria offering culture, scenery, local food, and memorable activities.",sightseeing; local food; cultural tours,spring or fall,medium,culture; sightseeing
Salzburg,Austria,"A varied travel destination in Austria offering culture, scenery, local food, and memorable activities.",sightseeing; local food; cultural tours,spring through fall,medium,culture; sightseeing
Swiss Alps,Switzerland,"A mountain destination with dramatic scenery, outdoor activities, and rewarding viewpoints.",hiking; viewpoints; nature photography,winter,high,adventure; nature
Zurich,Switzerland,"A lively urban destination known for local neighbourhoods, cultural attractions, dining, and opportunities to explore Switzerland.",walking tours; museums; local dining; food tasting,spring or fall,high,city; culture
Interlaken,Switzerland,"A mountain destination with dramatic scenery, outdoor activities, and rewarding viewpoints.",hiking; viewpoints; nature photography,spring through fall,high,adventure; nature
Athens,Greece,"A historically rich destination with important landmarks, architecture, museums, and cultural traditions.",historic sites; museums; guided tours; food tasting,spring or fall,medium,history; culture
Santorini,Greece,"An island destination combining coastal scenery, local communities, water activities, and relaxed travel.",boat trips; beaches; snorkelling,year-round,medium,relaxing; nature
Crete,Greece,"A beach-focused destination with warm-water activities, coastal scenery, and time for relaxation.",swimming; beach walks; water activities; food tasting,dry season or summer,medium,relaxing; nature
Dubrovnik,Croatia,"A scenic coastal destination offering ocean views, local culture, fresh food, and relaxed outdoor experiences.",coastal walks; local dining; boat trips,spring or summer,medium,relaxing; culture
Split,Croatia,"A scenic coastal destination offering ocean views, local culture, fresh food, and relaxed outdoor experiences.",coastal walks; local dining; boat trips; food tasting,spring or summer,medium,relaxing; culture
Ljubljana,Slovenia,"A lively urban destination known for local neighbourhoods, cultural attractions, dining, and opportunities to explore Slovenia.",walking tours; museums; local dining; cultural tours,spring or fall,medium,city; culture
Lake Bled,Slovenia,"A varied travel destination in Slovenia offering culture, scenery, local food, and memorable activities.",sightseeing; local food; cultural tours; hiking,spring through fall,medium,culture; sightseeing
Budapest,Hungary,"A historically rich destination with important landmarks, architecture, museums, and cultural traditions.",historic sites; museums; guided tours,spring or fall,low,history; culture
Kraków,Poland,"A historically rich destination with important landmarks, architecture, museums, and cultural traditions.",historic sites; museums; guided tours; food tasting,spring or fall,low,history; culture
Warsaw,Poland,"A historically rich destination with important landmarks, architecture, museums, and cultural traditions.",historic sites; museums; guided tours; museum visits,spring or fall,low,history; culture
Copenhagen,Denmark,"A varied travel destination in Denmark offering culture, scenery, local food, and memorable activities.",sightseeing; local food; cultural tours; food tasting,year-round,high,culture; sightseeing
Stockholm,Sweden,"An island destination combining coastal scenery, local communities, water activities, and relaxed travel.",boat trips; beaches; snorkelling; museum visits,year-round,high,relaxing; nature
Oslo,Norway,"A lively urban destination known for local neighbourhoods, cultural attractions, dining, and opportunities to explore Norway.",walking tours; museums; local dining; museum visits,spring or fall,high,city; culture
Norwegian Fjords,Norway,"A nature-focused destination with distinctive landscapes, outdoor activities, and scenic exploration.",hiking; scenic drives; photography,spring through fall,high,nature; adventure
Helsinki,Finland,"A varied travel destination in Finland offering culture, scenery, local food, and memorable activities.",sightseeing; local food; cultural tours; food tasting,spring or fall,high,culture; sightseeing
Lapland,Finland,"A varied travel destination in Finland offering culture, scenery, local food, and memorable activities.",sightseeing; local food; cultural tours,winter,high,culture; sightseeing
Tallinn,Estonia,"A historically rich destination with important landmarks, architecture, museums, and cultural traditions.",historic sites; museums; guided tours,spring or fall,medium,history; culture
Riga,Latvia,"A varied travel destination in Latvia offering culture, scenery, local food, and memorable activities.",sightseeing; local food; cultural tours,spring or fall,medium,culture; sightseeing
Vilnius,Lithuania,"A historically rich destination with important landmarks, architecture, museums, and cultural traditions.",historic sites; museums; guided tours,spring or fall,medium,history; culture
Bucharest,Romania,"A lively urban destination known for local neighbourhoods, cultural attractions, dining, and opportunities to explore Romania.",walking tours; museums; local dining,spring or fall,low,city; culture
Tokyo,Japan,"A lively urban destination known for local neighbourhoods, cultural attractions, dining, and opportunities to explore Japan.",walking tours; museums; local dining; food tasting,spring or fall,medium,city; culture
Osaka,Japan,"A destination well suited to travellers interested in regional cuisine, markets, cafés, and local culture.",food tours; markets; local restaurants; nightlife,spring or fall,medium,food; culture
Nara,Japan,"A historically rich destination with important landmarks, architecture, museums, and cultural traditions.",historic sites; museums; guided tours,spring or fall,medium,history; culture
Hokkaido,Japan,"A nature-focused destination with distinctive landscapes, outdoor activities, and scenic exploration.",hiking; scenic drives; photography; food tasting,winter,medium,nature; adventure
Seoul,South Korea,"A lively urban destination known for local neighbourhoods, cultural attractions, dining, and opportunities to explore South Korea.",walking tours; museums; local dining; food tasting,spring or fall,medium,city; culture
Busan,South Korea,"A beach-focused destination with warm-water activities, coastal scenery, and time for relaxation.",swimming; beach walks; water activities; food tasting,dry season or summer,medium,relaxing; nature
Jeju Island,South Korea,"A nature-focused destination with distinctive landscapes, outdoor activities, and scenic exploration.",hiking; scenic drives; photography,spring or summer,medium,nature; adventure
Beijing,China,"A historically rich destination with important landmarks, architecture, museums, and cultural traditions.",historic sites; museums; guided tours; food tasting,spring or fall,medium,history; culture
Shanghai,China,"A lively urban destination known for local neighbourhoods, cultural attractions, dining, and opportunities to explore China.",walking tours; museums; local dining; food tasting,spring or fall,medium,city; culture
Xi'an,China,"A historically rich destination with important landmarks, architecture, museums, and cultural traditions.",historic sites; museums; guided tours; food tasting,spring or fall,medium,history; culture
Guilin,China,"A varied travel destination in China offering culture, scenery, local food, and memorable activities.",sightseeing; local food; cultural tours; river excursions,year-round,medium,culture; sightseeing
Hong Kong,China,"A lively urban destination known for local neighbourhoods, cultural attractions, dining, and opportunities to explore China.",walking tours; museums; local dining; food tasting,spring through fall,medium,city; culture
Taipei,Taiwan,"A destination well suited to travellers interested in regional cuisine, markets, cafés, and local culture.",food tours; markets; local restaurants,spring or fall,medium,food; culture
Taroko Gorge,Taiwan,"A varied travel destination in Taiwan offering culture, scenery, local food, and memorable activities.",sightseeing; local food; cultural tours; scenic viewpoints,spring through fall,medium,culture; sightseeing
Bangkok,Thailand,"A destination well suited to travellers interested in regional cuisine, markets, cafés, and local culture.",food tours; markets; local restaurants,spring or fall,medium,food; culture
Chiang Mai,Thailand,"A varied travel destination in Thailand offering culture, scenery, local food, and memorable activities.",sightseeing; local food; cultural tours; food tasting,spring through fall,medium,culture; sightseeing
Phuket,Thailand,"A beach-focused destination with warm-water activities, coastal scenery, and time for relaxation.",swimming; beach walks; water activities; nightlife,dry season or summer,medium,relaxing; nature
Krabi,Thailand,"A beach-focused destination with warm-water activities, coastal scenery, and time for relaxation.",swimming; beach walks; water activities,dry season or summer,medium,relaxing; nature
Hanoi,Vietnam,"A destination well suited to travellers interested in regional cuisine, markets, cafés, and local culture.",food tours; markets; local restaurants,spring or fall,low,food; culture
Ho Chi Minh City,Vietnam,"A destination well suited to travellers interested in regional cuisine, markets, cafés, and local culture.",food tours; markets; local restaurants,spring or fall,low,food; culture
Ha Long Bay,Vietnam,"A varied travel destination in Vietnam offering culture, scenery, local food, and memorable activities.",sightseeing; local food; cultural tours; scenic viewpoints,year-round,low,culture; sightseeing
Hoi An,Vietnam,"A historically rich destination with important landmarks, architecture, museums, and cultural traditions.",historic sites; museums; guided tours; food tasting,spring or fall,low,history; culture
Luang Prabang,Laos,"A varied travel destination in Laos offering culture, scenery, local food, and memorable activities.",sightseeing; local food; cultural tours; relaxation,year-round,low,culture; sightseeing
Vang Vieng,Laos,"An active-travel destination offering outdoor challenges, scenic landscapes, and memorable excursions.",hiking; guided excursions; outdoor sports; scenic viewpoints,year-round,low,adventure; nature
Siem Reap,Cambodia,"A historically rich destination with important landmarks, architecture, museums, and cultural traditions.",historic sites; museums; guided tours; cultural tours,spring or fall,low,history; culture
Phnom Penh,Cambodia,"A historically rich destination with important landmarks, architecture, museums, and cultural traditions.",historic sites; museums; guided tours; food tasting,spring or fall,low,history; culture
Kuala Lumpur,Malaysia,"A lively urban destination known for local neighbourhoods, cultural attractions, dining, and opportunities to explore Malaysia.",walking tours; museums; local dining; food tasting,spring or fall,medium,city; culture
Penang,Malaysia,"A destination well suited to travellers interested in regional cuisine, markets, cafés, and local culture.",food tours; markets; local restaurants; cultural tours,spring or fall,medium,food; culture
Langkawi,Malaysia,"A beach-focused destination with warm-water activities, coastal scenery, and time for relaxation.",swimming; beach walks; water activities; relaxation,dry season or summer,medium,relaxing; nature
Singapore,Singapore,"A lively urban destination known for local neighbourhoods, cultural attractions, dining, and opportunities to explore Singapore.",walking tours; museums; local dining; food tasting,spring or fall,high,city; culture
Ubud,Indonesia,"A relaxing destination known for wellness activities, nature, local culture, and slower-paced travel.",yoga; spa visits; nature walks; cultural tours,year-round,low,relaxing; nature
Lombok,Indonesia,"A beach-focused destination with warm-water activities, coastal scenery, and time for relaxation.",swimming; beach walks; water activities; hiking,dry season or summer,low,relaxing; nature
Komodo National Park,Indonesia,A nature destination with strong wildlife-viewing opportunities and varied outdoor experiences.,wildlife viewing; guided walks; photography; diving,dry season,low,nature; adventure
Manila,Philippines,"A lively urban destination known for local neighbourhoods, cultural attractions, dining, and opportunities to explore Philippines.",walking tours; museums; local dining; food tasting,spring or fall,low,city; culture
Palawan,Philippines,"A beach-focused destination with warm-water activities, coastal scenery, and time for relaxation.",swimming; beach walks; water activities; diving,dry season or summer,low,relaxing; nature
Cebu,Philippines,"A beach-focused destination with warm-water activities, coastal scenery, and time for relaxation.",swimming; beach walks; water activities; diving,dry season or summer,low,relaxing; nature
Bohol,Philippines,"A nature-focused destination with distinctive landscapes, outdoor activities, and scenic exploration.",hiking; scenic drives; photography; wildlife viewing,dry season,low,nature; adventure
Delhi,India,"A historically rich destination with important landmarks, architecture, museums, and cultural traditions.",historic sites; museums; guided tours; food tasting,spring or fall,low,history; culture
Agra,India,"A historically rich destination with important landmarks, architecture, museums, and cultural traditions.",historic sites; museums; guided tours; cultural tours,spring or fall,low,history; culture
Jaipur,India,"A historically rich destination with important landmarks, architecture, museums, and cultural traditions.",historic sites; museums; guided tours; cultural tours,spring or fall,low,history; culture
Varanasi,India,"A culturally significant destination with sacred sites, historic traditions, and reflective experiences.",sacred sites; cultural tours; museums,spring or fall,low,culture; history
Goa,India,"A beach-focused destination with warm-water activities, coastal scenery, and time for relaxation.",swimming; beach walks; water activities; food tasting,dry season or summer,low,relaxing; nature
Kerala,India,"A varied travel destination in India offering culture, scenery, local food, and memorable activities.",sightseeing; local food; cultural tours; food tasting,year-round,low,culture; sightseeing
Mumbai,India,"A lively urban destination known for local neighbourhoods, cultural attractions, dining, and opportunities to explore India.",walking tours; museums; local dining; food tasting,spring or fall,low,city; culture
